50,124,16,5,80,3.2,50.5,16.7631
79,108,3,5,15,0.6,8,5.83095
37,96,35,25,875,1.4,509.5,43.0116
101,95,13,6,78,2.16667,45,14.3178
61,47,28,55,1540,0.509091,1195.5,61.7171
92,36,18,45,810,0.4,525.5,48.4665
42,97,21,21,441,1,245.5,29.6985
99,94,14,7,98,2,67.5,15.6525
59,36,49,85,4165,0.576471,2589.5,98.1122
38,114,3,3,9,1,4,4.24264
46,113,6,4,24,1.5,13.5,7.2111
57,99,5,16,80,0.3125,51.5,16.7631
91,94,21,7,147,3,89.5,22.1359
58,35,49,88,4312,0.556818,2943,100.722
129,29,3,3,9,1,4,4.24264
39,114,3,3,9,1,4,4.24264
51,98,10,17,170,0.588235,89,19.7231
101,93,9,7,63,1.28571,32,11.4018
56,35,51,91,4641,0.56044,3034,104.317
56,97,4,16,64,0.25,40.5,16.4924
102,94,4,5,20,0.8,11.5,6.40312
55,47,37,80,2960,0.4625,2160,88.1419
87,35,20,35,700,0.571429,479,40.3113
55,97,4,16,64,0.25,38,16.4924
53,34,53,93,4929,0.569892,3244,107.042
62,99,5,18,90,0.277778,59,18.6815
54,97,5,18,90,0.277778,55,18.6815
51,34,54,95,5130,0.568421,3162,109.275
71,123,6,6,36,1,21.5,8.48528
63,112,3,4,12,0.75,6,5
54,99,5,15,75,0.333333,41,15.8114
68,97,21,32,672,0.65625,294,38.2753
49,34,56,65,3640,0.861538,2368.5,85.7963
62,118,14,10,140,1.4,86.5,17.2047
124,48,4,3,12,1.33333,6,5
47,33,57,96,5472,0.59375,3496,111.647
56,122,17,7,119,2.42857,76,18.3848
55,112,3,3,9,1,4,4.24264
67,98,10,18,180,0.555556,61,20.5913
52,97,5,11,55,0.454545,27,12.083
45,47,44,82,3608,0.536585,2355,93.0591
83,34,20,35,700,0.571429,505.5,40.3113
55,124,3,5,15,0.6,8,5.83095
61,121,6,5,30,1.2,18.5,7.81025
67,98,10,17,170,0.588235,55.5,19.7231
52,98,5,14,70,0.357143,35,14.8661
43,47,46,82,3772,0.560976,2710.5,94.0213
84,33,18,36,648,0.5,450,40.2492
53,101,3,4,12,0.75,6,5
41,47,48,81,3888,0.592593,2695,94.1541
83,33,18,36,648,0.5,445.5,40.2492
63,95,26,32,832,0.8125,552,41.2311
39,47,42,45,1890,0.933333,1553.5,61.5549
82,33,17,36,612,0.472222,422,39.8121
62,94,25,30,750,0.833333,495.5,39.0512
38,47,45,44,1980,1.02273,1582.5,62.9365
81,33,17,36,612,0.472222,422,39.8121
47,111,10,4,40,2.5,24.5,10.7703
53,104,3,3,9,1,4,4.24264
62,92,23,32,736,0.71875,469,39.4081
126,48,3,3,9,1,4,4.24264
37,46,46,44,2024,1.04545,1584,63.6553
81,33,16,35,560,0.457143,395,38.4838
131,32,3,3,9,1,4,4.24264
62,120,3,4,12,0.75,6,5
43,101,14,13,182,1.07692,102,19.105
